   Compiling ../../../src/bckups/filter_tb.cpp in debug mode
   Generating csim.exe
Length of the input stream 	0
Length of the input stream 	2300001
Coef. index # 290		(-7.99983e-05,-7.58749e-06)
Coef. index # 291		(2.18539e-05,-3.05162e-05)
Coef. index # 292		(-9.47863e-05,-8.56193e-05)
Coef. index # 293		(-1.55624e-05,2.21119e-05)
Coef. index # 294		(-2.24262e-05,-8.96612e-05)
Coef. index # 295		(-9.02652e-05,-2.37753e-05)
Coef. index # 296		(2.12397e-05,-1.48513e-05)
Coef. index # 297		(-8.37552e-05,-9.38764e-05)
Coef. index # 298		(-3.20761e-05,1.92807e-05)
Coef. index # 299		(-7.91065e-06,-7.7188e-05)
Coef. index # 300		(-9.64152e-05,-4.03184e-05)
Coef. index # 301		(1.62949e-05,-1.71363e-06)
Coef. index # 302		(-7.00932e-05,-9.7861e-05)
Coef. index # 303		(-4.83571e-05,1.23568e-05)
Coef. index # 304		(3.64799e-06,-6.26072e-05)
Coef. index # 305		(-9.82131e-05,-5.60554e-05)
Coef. index # 306		(7.55768e-06,8.09692e-06)
Coef. index # 307		(-5.48712e-05,-9.74895e-05)
Coef. index # 308		(-6.32843e-05,2.00095e-06)
Coef. index # 309		(1.15749e-05,-4.70281e-05)
Coef. index # 310		(-9.57265e-05,-6.99274e-05)
Coef. index # 311		(-4.19887e-06,1.40388e-05)
Coef. index # 312		(-3.92194e-05,-9.29772e-05)
Coef. index # 313		(-7.58762e-05,-1.09184e-05)
Coef. index # 314		(1.54679e-05,-3.1583e-05)
Coef. index # 315		(-8.93101e-05,-8.10414e-05)
Coef. index # 316		(-1.80281e-05,1.58558e-05)
Coef. index # 317		(-2.42521e-05,-8.48104e-05)
Coef. index # 318		(-8.53464e-05,-2.5392e-05)
Coef. index # 319		(1.52169e-05,-1.73524e-05)
Coef. index # 320		(-7.95731e-05,-8.87294e-05)
Coef. index # 321		(-3.28762e-05,1.35805e-05)
Coef. index # 322		(-1.09971e-05,-7.37072e-05)
Coef. index # 323		(-9.1149e-05,-4.0343e-05)
Coef. index # 324		(1.0998e-05,-5.29224e-06)
Coef. index # 325		(-6.73304e-05,-9.25804e-05)
Coef. index # 326		(-4.7659e-05,7.52881e-06)
Coef. index # 327		(-3.26894e-07,-6.05644e-05)
Coef. index # 328		(-9.30144e-05,-5.46961e-05)
Coef. index # 329		(3.25358e-06,3.82215e-06)
Coef. index # 330		(-5.3538e-05,-9.24612e-05)
Coef. index # 331		(-6.13332e-05,-1.73738e-06)
Coef. index # 332		(7.09575e-06,-4.63841e-05)
Coef. index # 333		(-9.09483e-05,-6.7458e-05)
Coef. index # 334		(-7.34208e-06,9.44827e-06)
Coef. index # 335		(-3.92324e-05,-8.85203e-05)
Coef. index # 336		(-7.29682e-05,-1.34492e-05)
Coef. index # 337		(1.08536e-05,-3.22121e-05)
Coef. index # 338		(-8.52351e-05,-7.77752e-05)
Coef. index # 339		(-1.9941e-05,1.13016e-05)
Coef. index # 340		(-2.54475e-05,-8.11662e-05)
Coef. index # 341		(-8.18032e-05,-2.66931e-05)
Coef. index # 342		(1.07996e-05,-1.90572e-05)
Coef. index # 343		(-7.63992e-05,-8.4992e-05)
Coef. index # 344		(-3.35802e-05,9.3705e-06)
Coef. index # 345		(-1.31512e-05,-7.10324e-05)
Coef. index # 346		(-8.72961e-05,-4.04762e-05)
Coef. index # 347		(7.05523e-06,-7.82823e-06)
Coef. index # 348		(-6.51702e-05,-8.86894e-05)
Coef. index # 349		(-4.72544e-05,3.90876e-06)
Coef. index # 350		(-3.17721e-06,-5.8928e-05)
Coef. index # 351		(-8.91574e-05,-5.37951e-05)
Coef. index # 352		(-4.65661e-10,7.27363e-07)
Coef. index # 353		(-5.24241e-05,-8.87061e-05)
Coef. index # 354		(-5.99823e-05,-4.58956e-06)
Coef. index # 355		(3.82494e-06,-4.57801e-05)
Coef. index # 356		(-8.73571e-05,-6.5709e-05)
Coef. index # 357		(-9.76678e-06,6.07129e-06)
Coef. index # 358		(-3.91193e-05,-8.51471e-05)
Coef. index # 359		(-7.08774e-05,-1.54292e-05)
Coef. index # 360		(7.43615e-06,-3.25623e-05)
Coef. index # 361		(-8.21282e-05,-7.54003e-05)
Coef. index # 362		(-2.14684e-05,7.90646e-06)
Coef. index # 363		(-2.62284e-05,-7.83643e-05)
Coef. index # 364		(-7.92043e-05,-2.77683e-05)
Coef. index # 365		(7.48551e-06,-2.02293e-05)
Coef. index # 366		(-7.39363e-05,-8.22293e-05)
Coef. index # 367		(-3.42103e-05,6.1919e-06)
Coef. index # 368		(-1.46711e-05,-6.89314e-05)
Coef. index # 369		(-8.4429e-05,-4.06774e-05)
Coef. index # 370		(4.05964e-06,-9.6485e-06)
Coef. index # 371		(-6.34482e-05,-8.57753e-05)
Coef. index # 372		(-4.7049e-05,1.13854e-06)
Coef. index # 373		(-5.24847e-06,-5.75935e-05)
Coef. index # 374		(-8.62521e-05,-5.32102e-05)
Coef. index # 375		(-2.50945e-06,-1.5432e-06)
Coef. index # 376		(-5.14784e-05,-8.586e-05)
Coef. index # 377		(-5.90524e-05,-6.8089e-06)
Coef. index # 378		(1.40723e-06,-4.5218e-05)
Coef. index # 379		(-8.4619e-05,-6.44703e-05)
Coef. index # 380		(-1.16732e-05,3.55719e-06)
Coef. index # 381		(-3.89284e-05,-8.2558e-05)
Coef. index # 382		(-6.93691e-05,-1.70083e-05)
Coef. index # 383		(4.87547e-06,-3.27243e-05)
Coef. index # 384		(-7.97263e-05,-7.36671e-05)
Coef. index # 385		(-2.27112e-05,5.34719e-06)
Coef. index # 386		(-2.67201e-05,-7.61822e-05)
Coef. index # 387		(-7.72905e-05,-2.86731e-05)
Coef. index # 388		(4.9728e-06,-2.10232e-05)
Coef. index # 389		(-7.19992e-05,-8.0178e-05)
Coef. index # 390		(-3.47812e-05,3.7672e-06)
Coef. index # 391		(-1.57352e-05,-6.72601e-05)
Coef. index # 392		(-8.2287e-05,-4.09232e-05)
Coef. index # 393		(1.76067e-06,-1.09491e-05)
Coef. index # 394		(-6.20573e-05,-8.35843e-05)
Coef. index # 395		(-4.69852e-05,-1.00164e-06)
Coef. index # 396		(-6.74836e-06,-5.64912e-05)
Coef. index # 397		(-8.40542e-05,-5.28572e-05)
Coef. index # 398		(-4.46243e-06,-3.20468e-06)
Coef. index # 399		(-5.06672e-05,-8.36961e-05)
Coef. index # 400		(-5.84321e-05,-8.55187e-06)
Coef. index # 401		(-3.77186e-07,-4.46942e-05)
Coef. index # 402		(-8.25231e-05,-6.36103e-05)
Coef. index # 403		(-1.31885e-05,1.68849e-06)
Coef. index # 404		(-3.86853e-05,-8.05655e-05)
Coef. index # 405		(-6.83004e-05,-1.82823e-05)
Coef. index # 406		(2.96021e-06,-3.27504e-05)
Coef. index # 407		(-7.78651e-05,-7.24192e-05)
Coef. index # 408		(-2.37362e-05,3.42214e-06)
Coef. index # 409		(-2.69981e-05,-7.44774e-05)
Coef. index # 410		(-7.58963e-05,-2.94452e-05)
Coef. index # 411		(3.0715e-06,-2.15331e-05)
Coef. index # 412		(-7.04713e-05,-7.86721e-05)
Coef. index # 413		(-3.53041e-05,1.92178e-06)
Coef. index # 414		(-1.64541e-05,-6.59251e-05)
Coef. index # 415		(-8.07024e-05,-4.12022e-05)
Coef. index # 416		(0,-1.1852e-05)
Coef. index # 417		(-6.09281e-05,-8.19531e-05)
Coef. index # 418		(-4.70304e-05,-2.65287e-06)
Coef. index # 419		(-7.80914e-06,-5.55743e-05)
Coef. index # 420		(-8.24081e-05,-5.26821e-05)
Coef. index # 421		(-5.98188e-06,-4.39445e-06)
Coef. index # 422		(-4.99655e-05,-8.20654e-05)
Coef. index # 423		(-5.80545e-05,-9.92091e-06)
Coef. index # 424		(-1.66707e-06,-4.42071e-05)
Coef. index # 425		(-8.09352e-05,-6.30491e-05)
Coef. index # 426		(-1.43931e-05,3.26429e-07)
Coef. index # 427		(-3.84073e-05,-7.90441e-05)
Coef. index # 428		(-6.75763e-05,-1.93124e-05)
Coef. index # 429		(1.55484e-06,-3.26722e-05)
Coef. index # 430		(-7.64332e-05,-7.15563e-05)
Coef. index # 431		(-2.45851e-05,1.99955e-06)
Coef. index # 432		(-2.71094e-05,-7.31554e-05)
Coef. index # 433		(-7.49184e-05,-3.01111e-05)
Coef. index # 434		(1.65822e-06,-2.1819e-05)
Coef. index # 435		(-6.92732e-05,-7.76043e-05)
Coef. index # 436		(-3.57861e-05,5.40633e-07)
Coef. index # 437		(-1.68993e-05,-6.48643e-05)
Coef. index # 438		(-7.95671e-05,-4.15053e-05)
Coef. index # 439		(-1.32713e-06,-1.24383e-05)
Coef. index # 440		(-6.00121e-05,-8.07764e-05)
Coef. index # 441		(-4.71612e-05,-3.9069e-06)
Coef. index # 442		(-8.51555e-06,-5.48102e-05)
Coef. index # 443		(-8.12123e-05,-5.26514e-05)
Coef. index # 444		(-7.14697e-06,-5.20144e-06)
Coef. index # 445		(-4.93554e-05,-8.08723e-05)
Coef. index # 446		(-5.78733e-05,-1.09831e-05)
Coef. index # 447		(-2.55415e-06,-4.37503e-05)
Coef. index # 448		(-7.97641e-05,-6.27311e-05)
Coef. index # 449		(-1.53431e-05,-6.1933e-07)
Coef. index # 450		(-3.81004e-05,-7.79154e-05)
Coef. index # 451		(-6.71372e-05,-2.01412e-05)
Coef. index # 452		(5.69504e-07,-3.25101e-05)
Coef. index # 453		(-7.53612e-05,-7.10124e-05)
Coef. index # 454		(-2.52882e-05,9.94653e-07)
Coef. index # 455		(-2.70843e-05,-7.21524e-05)
Coef. index # 456		(-7.42874e-05,-3.06861e-05)
Coef. index # 457		(6.5146e-07,-2.19201e-05)
Coef. index # 458		(-6.8353e-05,-7.69021e-05)
Coef. index # 459		(-3.62354e-05,-4.5076e-07)
Coef. index # 460		(-1.71154e-05,-6.4034e-05)
Coef. index # 461		(-7.88122e-05,-4.18294e-05)
Coef. index # 462		(-2.28873e-06,-1.27563e-05)
Coef. index # 463		(-5.92791e-05,-7.99843e-05)
Coef. index # 464		(-4.73661e-05,-4.82565e-06)
Coef. index # 465		(-8.92207e-06,-5.41774e-05)
Coef. index # 466		(-8.03992e-05,-5.27431e-05)
Coef. index # 467		(-8.01124e-06,-5.68246e-06)
Coef. index # 468		(-4.88241e-05,-8.00532e-05)
Coef. index # 469		(-5.78603e-05,-1.1784e-05)
Coef. index # 470		(-3.09572e-06,-4.33214e-05)
Coef. index # 471		(-7.89533e-05,-6.26231e-05)
Coef. index # 472		(-1.60732e-05,-1.20839e-06)
Coef. index # 473		(-3.77712e-05,-7.71233e-05)
Coef. index # 474		(-6.69453e-05,-2.07974e-05)
Coef. index # 475		(-5.21541e-08,-3.22764e-05)
Coef. index # 476		(-7.45994e-05,-7.07461e-05)
Coef. index # 477		(-2.58652e-05,3.5204e-07)
Coef. index # 478		(-2.69404e-05,-7.14292e-05)
Coef. index # 479		(-7.39582e-05,-3.11853e-05)
Coef. index # 480		(-4.65661e-10,-2.18591e-05)
Coef. index # 481		(-6.7675e-05,-7.65212e-05)
Coef. index # 482		(-3.66541e-05,-1.10129e-06)
Coef. index # 483		(-1.71303e-05,-6.34072e-05)
Coef. index # 484		(-7.83913e-05,-4.21721e-05)
Coef. index # 485		(-2.92854e-06,-1.28383e-05)
Coef. index # 486		(-5.87064e-05,-7.95331e-05)
Coef. index # 487		(-4.76371e-05,-5.44684e-06)
Coef. index # 488		(-9.0627e-06,-5.366e-05)
Coef. index # 489		(-7.9927e-05,-5.29452e-05)
Coef. index # 490		(-8.60775e-06,-5.87385e-06)
Coef. index # 491		(-4.8364e-05,-7.9568e-05)
Coef. index # 492		(-5.7999e-05,-1.23521e-05)
Coef. index # 493		(-3.32901e-06,-4.29172e-05)
Coef. index # 494		(-7.84644e-05,-6.2705e-05)
Coef. index # 495		(-1.66083e-05,-1.47521e-06)
Coef. index # 496		(-3.7421e-05,-7.66362e-05)
Coef. index # 497		(-6.69761e-05,-2.12961e-05)
Coef. index # 498		(-3.45986e-07,-3.19774e-05)
Coef. index # 499		(-7.41184e-05,-7.07321e-05)
Coef. index # 500		(-2.63294e-05,3.86499e-08)
Coef. index # 501		(-2.6687e-05,-7.09603e-05)
Coef. index # 502		(-7.39051e-05,-3.16133e-05)
Coef. index # 503		(-3.28291e-07,-2.16505e-05)
Coef. index # 504		(-6.72191e-05,-7.64364e-05)
Coef. index # 505		(-3.70494e-05,-1.43843e-06)
Coef. index # 506		(-1.69594e-05,-6.29663e-05)
Coef. index # 507		(-7.82781e-05,-4.25354e-05)
